Sample File;C:\PartyLab\SMPS\202205101400_SMPS.S80
Classifier Model;3080
DMA Model;3081
DMA Inner Radius(cm);0.00937
DMA Outer Radius(cm);0.01961
DMA Characteristic Length(cm);0.44369
CPC Model;3772
Reference Gas Viscosity (Pa*s);1.83245e-005
Reference Mean Free Path (m);6.73e-008
Reference Gas Temperature (K);296.15
Reference Gas Pressure (kPa);101.3
Channels/Decade;64
Multiple Charge Correction;TRUE
Nanoparticle Aggregate Mobility Analysis;FALSE
Diffusion Correction;TRUE
Gas Density;0.0012
Units;dw/dlogDp
Weight;Number
Sample #;Date;Start Time;Sample Temp (C);Sample Pressure (kPa);Mean Free Path (m);Gas Viscosity (Pa*s);Diameter Midpoint; 12.2; 12.6; 13.1; 13.6; 14.1; 14.6; 15.1; 15.7; 16.3; 16.8; 17.5; 18.1; 18.8; 19.5; 20.2; 20.9; 21.7; 22.5; 23.3; 24.1; 25.0; 25.9; 26.9; 27.9; 28.9; 30.0; 31.1; 32.2; 33.4; 34.6; 35.9; 37.2; 38.5; 40.0; 41.4; 42.9; 44.5; 46.1; 47.8; 49.6; 51.4; 53.3; 55.2; 57.3; 59.4; 61.5; 63.8; 66.1; 68.5; 71.0; 73.7; 76.4; 79.1; 82.0; 85.1; 88.2; 91.4; 94.7; 98.2;101.8;105.5;109.4;113.4;117.6;121.9;126.3;131.0;135.8;140.7;145.9;151.2;156.8;162.5;168.5;174.7;181.1;187.7;194.6;201.7;209.1;216.7;224.7;232.9;241.4;250.3;259.5;269.0;278.8;289.0;299.6;310.6;322.0;333.8;346.0;358.7;371.8;385.4;399.5;414.2;429.4;445.1;461.4;478.3;495.8;514.0;532.8;Scan Up Time(s);Retrace Time(s);Down Scan First;Scans Per Sample;Impactor Type(cm);Sheath Flow(lpm);Aerosol Flow(lpm);CPC Inlet Flow(lpm);CPC Sample Flow(lpm);Low Voltage;High Voltage;Lower Size(nm);Upper Size(nm);Density(g/cc);Title;Status Flag;td(s);tf(s);D50(nm);Median(nm);Mean(nm);Geo. Mean(nm);Mode(nm);Geo. Std. Dev.;Total Conc.(#/cm³);Comment
1;05/10/22;14:00:46;16.2;76.2;8.691677e-008;1.799804e-005;;4625.96;3701.74;4406.02;3090.66;2986.09;2624.76;1953.25;2025.91;1919.44;1683.73;1505.46;1470.47;949.151;891.327;806.02;698.035;474.252;459.681;439.808;358.569;399.596;394.805;420.744;281.021;307.671;291.107;258.37;208.731;317.152;291.305;305.836;303.445;304.798;382.618;310.776;383.77;282.762;332.613;393.662;379.974;409.932;403.036;508.876;423.215;462.77;456.973;490.728;469.12;534.744;492.516;465.419;466.794;482.077;501.123;495.652;434.538;440.376;449.192;532.872;481.753;498.376;501.436;509.741;464.938;453.856;401.671;411.924;409.375;453.714;395.239;369.373;350.563;324.353;332.189;321.582;303.277;281.933;282.164;277.305;233.43;164.974;209.799;200.947;150.323;154.99;125.154;125.217;111.731;141.399;55.3592;70.2786;58.3838;71.415;68.3275;59.5541;54.989;51.434;47.4521;52.052;53.5344;38.6674;55.4249;21.7543;44.3519;66.201;28.2716;280;20;FALSE;1;None;5;1;1;1;10.872;9654.54;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;18.1922;52.3945;30.2576;12.1881;2.61569;982.519;
2;05/10/22;14:05:49;15.7;76.3;8.653194e-008;1.797389e-005;;38.4143;708.666;1702.38;1462.92;1187.14;1072.55;758.988;896.695;706.849;562.172;648.776;602.39;452.624;374.454;379.75;422.673;296.933;291.685;333.852;245.843;262.289;236.233;219.597;225.557;256.708;154.545;305.668;332.491;187.885;325.539;236.886;276.483;267.303;272.009;356.013;341.438;317.3;362.405;415.836;352.773;458.276;443.114;428.205;391.005;445.244;463.984;464.1;450.165;439.19;440.462;459.589;500.454;473.737;516.614;536.307;501.801;460.15;484.115;489.843;422.544;522.142;518.467;502.947;440.836;449.122;406.483;407.682;506.049;461.307;421.38;385.686;377.84;363.72;334.523;317.159;323.988;225.957;255.699;252.821;232.612;207.905;184.178;155.77;176.133;117.608;142.671;111.973;126.521;88.3513;107.507;65.5651;74.6858;72.7762;60.7326;66.1809;64.1539;49.0532;65.8263;45.5285;56.3187;46.367;35.3174;41.3289;37.5102;34.8256;31.79;280;20;FALSE;1;None;5;1;1;1;10.9049;9653.81;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;51.2782;76.6139;48.2141;13.0975;2.65176;595.197;
3;05/10/22;14:10:49;15.4;76.2;8.655332e-008;1.795939e-005;;0;404.965;1027.33;1282.71;1026.28;989.922;1124.94;824.983;723.107;695.993;359.297;557.06;400.506;332.123;439.707;300.464;283.06;263.462;250.112;340.134;231.043;203.962;191.617;216.858;228.758;219.392;207.626;252.603;205.796;256.893;235.264;279.967;283.191;316.626;307.904;325.902;305.181;399.47;366.805;468.508;434.796;409.693;466.711;422.979;430.148;455.565;450.105;509.121;498.204;460.559;430.35;460.288;567.08;463.276;487.604;527.735;550.349;526.498;501.135;455.874;454.759;561.492;464.665;476.728;498.576;416.373;439.912;471.356;437.527;405.272;359.996;414.947;316.504;356.448;317.432;332.508;288.535;232.928;214.909;207.21;196.414;216.535;150.341;137.79;158.577;130.605;134.459;109.604;100.515;93.7799;99.9375;88.7169;59.4876;73.328;53.498;40.0177;62.5062;61.3756;53.2114;47.8584;31.5833;33.7132;26.9119;57.9717;21.1482;40.6483;280;20;FALSE;1;None;5;1;1;1;10.8935;9645.34;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;55.6146;79.4188;51.0663;13.5773;2.61164;571.659;
4;05/10/22;14:15:49;15.3;76.2;8.646963e-008;1.795456e-005;;0;78.9965;714.791;774.521;891.632;666.873;949.887;488.401;939.055;609.512;712.044;640.892;544.714;562.649;466.903;401.619;337.326;274.286;252.862;295.865;288.154;312.541;279.247;180.304;205.078;243.571;200.49;172.908;227.121;257.254;315.502;266.545;258.886;264.392;335.152;282.485;309.617;428.521;408.534;398.577;402.503;405.431;489.463;461.61;446.897;526.812;525.405;492.74;455.204;472.83;481.246;506.944;530.866;539.242;566.41;484.743;420.36;526.973;470.39;520.998;453.978;522.479;468.349;467.406;486.443;390.895;491.533;431.586;458.341;391.314;386.176;395.506;349.853;343.919;349.122;300.635;262.817;293.861;247.119;260.599;246.237;231.355;186.897;187.063;176.511;153.73;103.86;96.0867;103.671;100.333;69.168;100.269;72.7962;82.1584;61.0794;49.5499;30.5878;71.8369;31.2809;40.0016;38.0741;37.4813;53.3;51.1461;41.7874;36.3437;280;20;FALSE;1;None;5;1;1;1;10.9009;9645.4;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;58.7239;82.3579;53.9144;15.1247;2.56055;565.145;
5;05/10/22;14:20:49;15.3;76.1;8.662871e-008;1.795456e-005;;0;33.7668;544.551;560.856;507.364;654.325;1001.79;722.565;1016.58;816.041;782.376;559.451;673.335;539.181;717.654;466.629;346.552;326.262;226.234;243.189;282.877;233.493;318.963;192.607;171.111;198.688;197.364;291.964;246.75;253.999;264.022;306.86;279.248;346.866;312.25;307.711;362.025;384.453;387.706;433.669;386.926;410.927;382.864;438.208;481.62;480.559;435.646;542.378;444.377;491.522;469.053;510.164;498.345;586.704;471.104;489.779;428.431;497.802;488.088;580.288;479.388;460.568;474.639;471.59;444.777;459.394;474.71;451.519;451.32;418.789;409.348;365.225;334.678;273.632;335.841;317.034;317.915;295.237;252.021;228.388;235.203;210.672;162.5;185.998;188.433;132.463;101.012;103.461;117.193;88.4791;69.5311;82.6325;78.544;61.5938;89.7338;94.6882;77.7069;59.6868;36.2026;44.0731;47.5625;52.8612;41.8436;43.3544;53.2468;42.3918;280;20;FALSE;1;None;5;1;1;1;10.8812;9640.35;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;58.2629;82.8733;54.0768;16.2531;2.55646;566.3;
6;05/10/22;14:25:49;15.3;76.2;8.646963e-008;1.795456e-005;;0;168.608;473.357;863.619;460.285;889.891;837.32;1104.37;868.911;934.049;796.18;937.163;1040.51;773.542;757.279;790.05;722.84;667.849;431.066;493.162;402.483;290.886;346.611;303.654;269.36;230.241;180.936;241.842;242.857;242.88;258.826;301.414;320.138;333.973;270.548;277.643;350.413;333.931;386.95;403.463;385.6;395.17;483.545;495.066;455.663;563.373;447.214;535.321;562.352;522.56;484.601;499.512;572.408;550.255;531.224;561.392;497.874;500.74;543.691;511.682;542.303;529.366;519.318;437.638;453.916;449.981;480.742;441.233;425.343;480.582;380.514;428.891;379.391;345.818;326.644;343.104;249.458;301.182;232.219;212.879;228.522;157.291;175.362;195.019;157.296;141.257;124.686;126.206;88.8364;117.214;67.619;93.6163;88.9965;55.6683;60.5691;77.7924;46.1601;56.7222;62.5783;49.0457;45.0702;19.0988;35.8037;39.2047;60.1765;50.4715;280;20;FALSE;1;None;5;1;1;1;10.9009;9645.4;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;51.6423;76.9199;49.6744;15.6788;2.54834;632.487;
7;05/10/22;14:30:49;15.3;76.4;8.633374e-008;1.795456e-005;;0;67.3663;422.537;587.073;447.479;884.977;1232.32;1318.89;1503.33;1319.38;1398.5;1404.11;1280.39;1544.82;1046.44;1054.12;810.117;751.623;792.508;549.299;485.992;450.796;411.526;458.408;371.372;340.746;313.714;278.466;377.668;314.921;308.862;294.92;313.919;392.093;304.138;346.931;391.217;402.65;384.653;385.469;471.054;454.766;457.02;433.539;516.752;485.431;483.275;511.245;537.36;445.964;512.612;502.095;559.864;517.501;516.761;598.406;528.071;608.884;535.63;540.243;533.583;480.285;508.837;548.628;481.489;486.632;471.749;550.282;395.959;413.749;436.446;369.436;314.536;338.099;333.568;282.791;323.69;258.12;255.338;270.373;224.213;175.678;184.225;188.887;179.352;172.75;147.458;102.865;122.185;59.8981;95.756;79.8002;105.547;57.2486;66.5263;57.3253;63.8276;35.2969;44.6235;41.7868;37.2872;53.3678;21.5591;44.319;35.0854;26.4952;280;20;FALSE;1;None;5;1;1;1;10.9177;9649.72;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;39.5489;69.9532;44.8435;19.4564;2.51124;725.581;
8;05/10/22;14:35:49;15.0;76.2;8.642283e-008;1.794005e-005;;13.2543;33.7034;352.448;676.22;650.357;732.356;794.851;1006.09;1079.45;1166.17;1578.19;1249.13;1273.94;1415.3;1203.44;1218.57;1172.54;1006.41;832.905;832.313;792.968;691.891;558.922;496.215;452.313;400.415;394.78;385.896;317.307;364.628;308.182;333.108;362.379;387.417;378.696;384.533;385.325;375.588;350.34;496.913;479.133;485.293;493.931;478.615;399.757;519.896;514.55;513.366;458.986;542.975;533.385;496.709;525.802;545.6;506.636;554.517;497.876;534.209;529.723;499.419;510.347;592.992;409.903;466.912;431.173;455.919;439.134;438.331;452.337;457.566;321.137;366.142;302.136;323.586;352.062;303.299;301.536;250.496;203.553;240.033;264.323;230.374;157.533;214.54;187.407;182.67;152.566;109.583;88.9465;117.718;103.766;72.8071;55.9635;54.9597;72.9852;36.6541;36.4145;58.2081;37.7068;44.6603;48.4675;46.1427;50.4514;49.2424;40.5058;59.7737;280;20;FALSE;1;None;5;1;1;1;10.8979;9639.09;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;37.1388;69.1606;44.501;17.4658;2.47279;737.638;
9;05/10/22;14:40:49;14.9;76.2;8.631654e-008;1.793521e-005;;0;79.1965;351.436;613.816;962.183;1229.21;1243.47;1729.65;1408.29;2089.82;1849.11;2064.35;1990.2;1806.41;1697.61;1537.68;1269.8;1191.97;1219.35;993.152;1061.47;928.721;751.353;755.052;698.153;600.547;501.097;429.698;458.841;476.006;366.678;336.816;348.448;398.933;360.982;354.381;349.732;317.327;436.704;394.129;403.074;454.164;429.412;434.728;471.338;480.958;522.819;502.151;489.977;553.063;433.462;491.899;461.37;489.26;526.706;524.418;472.718;433.085;543.485;562.09;502.615;479.212;542.752;555.173;440.606;431.306;492.341;409.555;427.482;411.871;411.069;321.199;332.187;359.205;340.192;238.661;306.479;280.887;234.666;270.593;219.877;218.303;193.096;196.008;162.554;151.957;125.154;123.817;117.444;114.365;83.2681;93.9635;77.1465;73.8946;87.6021;87.2137;42.7027;50.4338;41.4918;45.4308;44.5856;67.1663;76.7364;46.7926;25.3255;67.0938;280;20;FALSE;1;None;5;1;1;1;10.9081;9639.87;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;27.1419;62.2479;39.1947;16.8485;2.45167;871.148;
